Srno.,rebalance_date,rebalance_reason,turnover,transaction_cost,portfolio_value_before_cost,portfolio_value_after_cost,max_weight_drift
35,2021-12-22T00:00:00.000,threshold,0.109771905,170.3833547,1034772.083,1034601.699,0.062719133
36,2021-12-24T00:00:00.000,threshold,0.075092686,116.9011592,1037838.843,1037721.942,0.067397362
37,2021-12-27T00:00:00.000,threshold,0.070874218,110.1954024,1036534.911,1036424.715,0.066438792
38,2021-12-28T00:00:00.000,threshold,0.076189152,119.0549589,1041749,1041629.945,0.066869224
39,2022-01-03T00:00:00.000,calendar,0.033256554,52.46652838,1051753.14,1051700.673,0.014721509
40,2022-01-14T00:00:00.000,threshold,0.122129516,193.528544,1056411.53,1056218.001,0.072081333
41,2022-02-01T00:00:00.000,calendar,0.036748616,57.32393566,1039929.16,1039871.836,0.015857621
42,2022-02-07T00:00:00.000,threshold,0.112540828,174.318875,1032625.985,1032451.667,0.066484402
43,2022-03-02T00:00:00.000,calendar,0.109023677,171.6893571,1049859.758,1049688.068,0.028681196
44,2022-04-01T00:00:00.000,calendar,0.068824903,112.3261857,1088038.199,1087925.873,0.042029285
45,2022-05-02T00:00:00.000,calendar,0.093943021,151.4389346,1074686.43,1074534.991,0.040412285
46,2022-06-01T00:00:00.000,calendar,0.051040706,80.41676486,1050361.181,1050280.765,0.027100353
47,2022-07-01T00:00:00.000,calendar,0.057728138,90.63755474,1046717.231,1046626.593,0.023601938
48,2022-07-21T00:00:00.000,threshold,0.144187818,225.2922591,1041661.087,1041435.795,0.091574553
49,2022-07-27T00:00:00.000,threshold,0.123578577,194.0535147,1046856.283,1046662.23,0.09159999
50,2022-07-29T00:00:00.000,threshold,0.125328892,199.0606242,1058870.634,1058671.573,0.065476847
51,2022-08-01T00:00:00.000,calendar_or_threshold,0.088766356,142.0555479,1066887.309,1066745.254,0.072278232
52,2022-09-01T00:00:00.000,calendar,0.042498711,67.65687081,1061316.427,1061248.77,0.020045984
53,2022-09-20T00:00:00.000,threshold,0.078620713,126.0007777,1068427.33,1068301.329,0.057393338
54,2022-10-03T00:00:00.000,calendar,0.032520238,53.01932992,1086899.186,1086846.166,0.027249907
55,2022-10-10T00:00:00.000,threshold,0.087672331,143.6675475,1092458.292,1092314.624,0.07038725
56,2022-10-18T00:00:00.000,threshold,0.063285646,102.8395683,1083337.475,1083234.636,0.054065055
57,2022-11-01T00:00:00.000,calendar,0.017781692,29.57310046,1108747.125,1108717.552,0.010974323
58,2022-11-03T00:00:00.000,threshold,0.082117435,136.098728,1104911.345,1104775.246,0.074794399
59,2022-11-11T00:00:00.000,threshold,0.097463615,164.7764676,1127097.309,1126932.532,0.082269276
60,2022-12-01T00:00:00.000,calendar,0.063995169,109.2058715,1137647.034,1137537.829,0.030977615
61,2022-12-07T00:00:00.000,threshold,0.101744334,173.684709,1138046.725,1137873.04,0.0990302
62,2022-12-23T00:00:00.000,threshold,0.096940609,166.1521601,1142638.857,1142472.705,0.050257136
63,2023-01-02T00:00:00.000,calendar,0.047089339,81.77667407,1157752.129,1157670.353,0.036845257
64,2023-02-01T00:00:00.000,calendar,0.05199018,92.58687993,1187235.49,1187142.903,0.034327708
65,2023-02-06T00:00:00.000,threshold,0.15849887,282.3394999,1187556.313,1187273.973,0.101838824
66,2023-02-08T00:00:00.000,threshold,0.086631352,154.2267725,1186843.404,1186689.177,0.082752401
67,2023-02-10T00:00:00.000,threshold,0.090000084,159.1099232,1178590.93,1178431.82,0.0870898
68,2023-03-01T00:00:00.000,calendar,0.041858678,73.42529811,1169415.777,1169342.352,0.022782687
69,2023-03-09T00:00:00.000,threshold,0.101619421,177.9976181,1167740.16,1167562.162,0.086561493
70,2023-03-13T00:00:00.000,threshold,0.118749939,211.4144334,1186888.659,1186677.245,0.082237381
71,2023-03-23T00:00:00.000,threshold,0.075292656,136.1550276,1205562.709,1205426.554,0.050273611
72,2023-04-03T00:00:00.000,calendar,0.034811765,63.47007649,1215490.929,1215427.459,0.023748946
73,2023-04-06T00:00:00.000,threshold,0.059200803,109.8660303,1237213.287,1237103.421,0.051224428
74,2023-04-12T00:00:00.000,threshold,0.062570149,116.7331695,1243757.832,1243641.099,0.051574022
75,2023-05-02T00:00:00.000,calendar,0.055958029,105.5227514,1257165.449,1257059.926,0.037555206
76,2023-05-25T00:00:00.000,threshold,0.074342314,141.5952647,1269759.278,1269617.683,0.057783976
77,2023-05-26T00:00:00.000,threshold,0.101665739,194.3603094,1274505.455,1274311.095,0.083350165
78,2023-05-29T00:00:00.000,threshold,0.071856541,137.5479881,1276135.159,1275997.611,0.064576846
79,2023-06-01T00:00:00.000,calendar_or_threshold,0.095542959,183.6357815,1281348.782,1281165.146,0.05508451
80,2023-06-19T00:00:00.000,threshold,0.129167042,251.5413202,1298274.009,1298022.467,0.080224456
81,2023-06-22T00:00:00.000,threshold,0.234252221,451.2428172,1284207.868,1283756.626,0.194427165
82,2023-06-23T00:00:00.000,threshold,0.112455714,216.7238551,1284795.277,1284578.553,0.074883324
83,2023-06-26T00:00:00.000,threshold,0.060515873,117.5573548,1295058.063,1294940.506,0.051393984
84,2023-07-03T00:00:00.000,calendar_or_threshold,0.102373674,201.1235654,1309734.93,1309533.806,0.061781313
85,2023-07-18T00:00:00.000,threshold,0.118371346,237.598963,1338155.85,1337918.251,0.058696529
86,2023-07-21T00:00:00.000,threshold,0.193140649,392.972493,1356429.437,1356036.465,0.095174644
87,2023-07-28T00:00:00.000,threshold,0.191591995,398.6059529,1386995.85,1386597.244,0.140868344
88,2023-08-01T00:00:00.000,calendar,0.022352181,46.4499554,1385396.686,1385350.236,0.012362908
89,2023-08-03T00:00:00.000,threshold,0.155325788,320.7777125,1376795.256,1376474.478,0.130569345
90,2023-08-07T00:00:00.000,threshold,0.153394571,319.5891959,1388963.524,1388643.935,0.13252494
91,2023-08-11T00:00:00.000,threshold,0.144966678,296.797788,1364901.196,1364604.398,0.120715104
92,2023-08-16T00:00:00.000,threshold,0.126324912,259.7154585,1370621.488,1370361.773,0.095647611
93,2023-08-22T00:00:00.000,threshold,0.131628755,269.9442033,1367199.765,1366929.82,0.094818948
94,2023-08-24T00:00:00.000,threshold,0.164393144,336.6429222,1365194.491,1364857.848,0.126175733
95,2023-08-25T00:00:00.000,threshold,0.147147802,300.7585366,1362614.246,1362313.488,0.125765893
96,2023-09-01T00:00:00.000,calendar,0.0182052,37.50956146,1373584.178,1373546.668,0.007168303
97,2023-09-04T00:00:00.000,threshold,0.158943753,327.5402729,1373820.472,1373492.932,0.152162206
98,2023-09-06T00:00:00.000,threshold,0.173471802,357.5891823,1374245.184,1373887.594,0.152091098
99,2023-09-18T00:00:00.000,threshold,0.230955264,478.5253362,1381293.009,1380814.483,0.212920412
100,2023-09-20T00:00:00.000,threshold,0.07871136,162.7359925,1378335.496,1378172.76,0.071334799
101,2023-09-25T00:00:00.000,threshold,0.120173772,247.6085055,1373613.679,1373366.07,0.078428775
102,2023-09-26T00:00:00.000,threshold,0.072181792,148.3283761,1369951.907,1369803.579,0.071524622
103,2023-09-27T00:00:00.000,threshold,0.078510343,161.3128744,1369780.241,1369618.928,0.072214418
104,2023-10-03T00:00:00.000,calendar,0.058529179,118.5366476,1350171.542,1350053.006,0.047576594
105,2023-10-06T00:00:00.000,threshold,0.197387419,396.8954784,1340495.698,1340098.802,0.170579047
106,2023-10-10T00:00:00.000,threshold,0.22522049,453.8577291,1343447.124,1342993.266,0.168090605
107,2023-10-12T00:00:00.000,threshold,0.112995045,229.3301353,1353039.482,1352810.151,0.071492262
108,2023-10-18T00:00:00.000,threshold,0.10329298,212.3029208,1370231.367,1370019.064,0.064201906
109,2023-10-23T00:00:00.000,threshold,0.119163556,244.0348563,1365265.607,1365021.572,0.071086613
110,2023-10-27T00:00:00.000,threshold,0.082471479,167.0002175,1349963.396,1349796.396,0.066002262
111,2023-11-01T00:00:00.000,calendar,0.0315432,63.96690303,1351942.784,1351878.817,0.023093614
112,2023-11-17T00:00:00.000,threshold,0.099597816,208.7540985,1397313.756,1397105.002,0.057371977
113,2023-11-30T00:00:00.000,threshold,0.085968156,183.0358077,1419407.801,1419224.765,0.080256235
114,2023-12-01T00:00:00.000,calendar,0.058188539,124.4433768,1425749.002,1425624.559,0.034803692
115,2023-12-04T00:00:00.000,threshold,0.109863528,237.8734129,1443447.87,1443209.997,0.090828228
116,2023-12-05T00:00:00.000,threshold,0.096774666,208.8807061,1438948.955,1438740.075,0.065519313
117,2023-12-06T00:00:00.000,threshold,0.095742741,206.4589455,1437595.119,1437388.66,0.094418558
118,2023-12-11T00:00:00.000,threshold,0.06442239,138.0958612,1429066.927,1428928.831,0.056818071
119,2023-12-20T00:00:00.000,threshold,0.079062711,171.5552786,1446575.555,1446404,0.062935456
120,2023-12-29T00:00:00.000,threshold,0.065038758,144.6055619,1482250.138,1482105.532,0.063465117
121,2024-01-01T00:00:00.000,calendar,0.001476345,3.284245733,1483052.009,1483048.725,0.000719807
122,2024-01-15T00:00:00.000,threshold,0.21857988,485.042832,1479376.273,1478891.23,0.163456025
123,2024-01-17T00:00:00.000,threshold,0.193920386,424.5972132,1459695.983,1459271.386,0.168383832
124,2024-01-18T00:00:00.000,threshold,0.271004263,594.422014,1462269.773,1461675.351,0.249173746
125,2024-01-23T00:00:00.000,threshold,0.278094166,611.6311848,1466244.794,1465633.163,0.254785561
126,2024-01-29T00:00:00.000,threshold,0.126187938,281.7471436,1488505.412,1488223.665,0.06806341
127,2024-01-31T00:00:00.000,threshold,0.082574602,184.7317226,1491432.944,1491248.213,0.068844037
128,2024-02-01T00:00:00.000,calendar_or_threshold,0.143805308,320.1317433,1484097.951,1483777.819,0.142350277
129,2024-02-13T00:00:00.000,threshold,0.212539522,472.6496121,1482546.578,1482073.928,0.149452086
130,2024-02-14T00:00:00.000,threshold,0.137815061,304.0354398,1470741.234,1470437.198,0.136345584
131,2024-02-19T00:00:00.000,threshold,0.195814379,439.0880887,1494912.65,1494473.562,0.14395716
132,2024-03-01T00:00:00.000,calendar,0.077008194,175.6672565,1520766.789,1520591.122,0.042135499
133,2024-03-14T00:00:00.000,threshold,0.117063572,274.3348664,1562312.749,1562038.414,0.052528501
134,2024-03-27T00:00:00.000,threshold,0.108135853,254.8503266,1571173.788,1570918.938,0.054113748
135,2024-04-01T00:00:00.000,calendar,0.091170136,221.0878446,1616668.604,1616447.517,0.0343004
136,2024-04-15T00:00:00.000,threshold,0.112003821,274.346681,1632960.253,1632685.906,0.080686887
137,2024-04-25T00:00:00.000,threshold,0.1648571,408.0650359,1650176.774,1649768.709,0.12265912
138,2024-05-02T00:00:00.000,calendar_or_threshold,0.101123775,249.6231802,1645661.01,1645411.387,0.061268511
139,2024-05-06T00:00:00.000,threshold,0.114485058,281.1504294,1637188.494,1636907.344,0.061644938
140,2024-05-07T00:00:00.000,threshold,0.132964499,325.4710959,1631869.655,1631544.184,0.060572811
141,2024-05-08T00:00:00.000,threshold,0.095666231,233.2525983,1625461.045,1625227.793,0.064467493
142,2024-06-03T00:00:00.000,calendar_or_threshold,0.128042772,319.1508852,1661688.93,1661369.779,0.072006919
143,2024-06-04T00:00:00.000,threshold,0.217245629,532.5651492,1634294.945,1633762.38,0.159380684
144,2024-06-05T00:00:00.000,threshold,0.122520232,305.5981722,1662844.665,1662539.066,0.063833221
